       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       49.641       12.642       13.118       17.845
           8            8            8        1.000        0.344       -1.000        0.438       21.196       24.051       12.951       28.276
           9           16           16        1.000        0.559       -1.000        0.250       25.779       24.254       13.309       28.332
          16           16           16        1.000        0.356       -1.000        0.469       21.702       25.945       14.711       30.612
          17           32           32        1.000        0.583       -1.000        0.250       27.542       26.719       16.285       31.613
          32           32           32        1.000        0.362       -1.000        0.484       22.837       29.028       20.526       34.994
          33           48           64        0.484        0.595        0.000        0.250       40.456       12.840       19.744       20.574
          48           48           64        0.250        0.470        0.000        0.367       27.085       12.278       16.594       19.923
          49           72          128        0.617        0.681        0.000        0.188       34.789       12.183       18.195       20.079
          72           72          128        0.467        0.569        0.052        0.277       29.862       13.116       19.625       20.541
          73          108          128        0.460        0.564        0.054        0.281       34.702       13.008       19.516       20.353
         108          108          128        0.247        0.429        0.108        0.418       32.682       15.474       19.506       22.254
         109          162          256        0.597        0.653        0.054        0.211       50.127       14.629       20.313       21.999
         162          162          256        0.413        0.530        0.072        0.314       30.599       12.605       18.841       19.849
         163          217          256        0.410        0.528        0.073        0.316       35.059       12.665       18.655       19.708
         217          217          256        0.278        0.428        0.148        0.422       29.678       12.699       17.159       19.823
         218          325          512        0.623        0.653        0.115        0.212       36.520       12.199       16.715       19.233
         325          325          512        0.468        0.530        0.162        0.316       28.726       11.788       17.667       18.335
         326          435          512        0.467        0.529        0.163        0.317       32.751       11.775       17.658       18.360
         435          435          512        0.316        0.427        0.194        0.424       27.761       11.718       16.671       18.106
         436          652         1024        0.634        0.653        0.141        0.212       34.686       10.824       15.023       17.508
         652          652         1024        0.465        0.529        0.160        0.318       27.401       10.563       16.512       17.283
         653          870         1024        0.464        0.528        0.160        0.318       32.171       10.573       16.467       17.338
         870          870         1024        0.332        0.427        0.222        0.424       27.003       11.519       16.574       17.927
         871         1305         2048        0.654        0.654        0.191        0.212       35.857       10.807       14.028       17.384
        1305         1305         2048        0.505        0.529        0.234        0.318       27.748       11.202       16.355       17.423
        1306         1740         2048        0.505        0.528        0.234        0.319       33.904       11.201       16.278       17.440
        1740         1740         2048        0.362        0.427        0.264        0.425       37.604       11.660       16.827       18.157
        1741         2610         4096        0.678        0.654        0.255        0.212       51.628       11.538       13.405       17.554
        2610         2610         4096        0.528        0.529        0.276        0.318       29.206       11.876       15.591       17.804
        2611         3481         4096        0.528        0.529        0.276        0.319       34.147       11.884       15.590       17.881
        3481         3481         4096        0.378        0.427        0.287        0.425       28.741       12.236       17.251       19.402
        3482         5221         8192        0.679        0.654        0.260        0.212       39.263       11.920       13.526       19.514
        5221         5221         8192        0.534        0.529        0.291        0.319       27.908       12.630       16.180       18.731
        5222         6963         8192        0.534        0.529        0.290        0.319       33.765       12.634       16.078       18.733
        6963         6963         8192        0.419        0.427        0.381        0.425       29.208       14.360       18.388       19.772
        6964        10444        16384        0.697        0.654        0.326        0.212       37.534       13.426       13.629       19.396
       10444        10444        16384        0.561        0.529        0.374        0.319       29.292       14.546       16.880       20.211
       10445        13926        16384        0.561        0.529        0.374        0.319       34.753       14.560       16.893       20.215
       13926        13926        16384        0.429        0.427        0.403        0.425       29.177       15.302       19.091       20.765
       13927        20889        32768        0.700        0.654        0.340        0.212       37.025       14.045       13.588       20.258
       20889        20889        32768        0.557        0.529        0.359        0.319       28.888       14.619       17.336       20.942
       20890        27852        32768        0.556        0.529        0.357        0.319       34.614       14.573       17.412       20.952
