       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       62.415       12.784       19.211       26.307
           7            7            8        0.393        0.393        0.375        0.375       33.953       24.109       29.152       28.990
           8           10           16        0.597        0.597        0.219        0.219       47.271       21.419       25.639       27.680
          10           10           16        0.524        0.524        0.281        0.281       44.757       22.266       27.355       28.128
          11           13           16        0.492        0.492        0.313        0.313       60.739       22.237       27.483       27.843
          13           13           16        0.432        0.432        0.375        0.375       49.897       23.545       28.441       28.420
          14           19           32        0.641        0.641        0.203        0.203       59.066       19.553       23.218       26.446
          19           19           32        0.547        0.547        0.281        0.281       51.911       20.612       25.555       26.817
          20           28           32        0.530        0.530        0.297        0.297       70.920       21.878       26.834       27.861
          28           28           32        0.411        0.411        0.422        0.422       52.041       23.156       28.031       27.950
          29           42           64        0.633        0.633        0.219        0.219       61.372       18.951       22.670       25.949
          42           42           64        0.516        0.516        0.320        0.320       51.501       20.223       25.439       26.167
          43           54           64        0.508        0.508        0.328        0.328       56.497       20.210       25.547       26.081
          54           54           64        0.427        0.427        0.414        0.414       63.588       22.980       27.878       27.723
          55           81          128        0.650        0.650        0.211        0.211       61.265       18.935       22.345       26.058
          81           81          128        0.530        0.530        0.313        0.313       49.230       18.668       23.716       24.863
          82          108          128        0.526        0.526        0.316        0.316       53.535       18.673       23.731       24.925
         108          108          128        0.429        0.429        0.418        0.418       51.154       22.712       27.607       27.522
         109          162          256        0.653        0.653        0.211        0.211       59.563       18.667       22.239       25.950
         162          162          256        0.530        0.530        0.314        0.314       49.779       18.495       23.549       24.718
         163          217          256        0.528        0.528        0.317        0.316       65.813       18.577       23.662       24.773
         217          217          256        0.428        0.428        0.422        0.422       45.585       19.434       24.450       24.541
         218          325          512        0.653        0.653        0.212        0.212       53.310       15.368       18.919       22.877
         325          325          512        0.530        0.530        0.317        0.316       43.309       16.230       21.437       22.675
         326          435          512        0.529        0.529        0.317        0.317       47.441       16.225       21.417       22.684
         435          435          512        0.427        0.427        0.424        0.424       42.016       17.772       22.834       22.998
         436          652         1024        0.653        0.653        0.212        0.212       50.135       13.707       17.275       21.257
         652          652         1024        0.529        0.529        0.318        0.318       40.792       15.137       20.389       21.710
         653          870         1024        0.528        0.528        0.319        0.318       45.909       15.188       20.354       21.735
         870          870         1024        0.427        0.427        0.425        0.424       40.553       17.040       22.124       22.373
         871         1305         2048        0.654        0.654        0.213        0.212       50.139       12.919       16.440       20.779
        1305         1305         2048        0.529        0.529        0.318        0.318       41.076       14.660       19.901       21.377
        1306         1740         2048        0.528        0.528        0.318        0.319       48.197       14.668       19.898       21.349
        1740         1740         2048        0.427        0.427        0.424        0.425       41.853       16.737       21.715       22.247
        1741         2610         4096        0.654        0.654        0.212        0.212       51.718       12.790       16.273       20.844
        2610         2610         4096        0.529        0.529        0.319        0.318       42.242       15.079       19.946       21.947
        2611         3481         4096        0.529        0.529        0.319        0.319       47.525       15.067       19.933       22.013
        3481         3481         4096        0.427        0.427        0.425        0.425       43.711       17.492       22.054       23.355
        3482         5221         8192        0.654        0.654        0.212        0.212       51.969       13.350       16.526       22.277
        5221         5221         8192        0.529        0.529        0.319        0.319       42.149       15.707       20.494       23.058
        5222         6963         8192        0.529        0.529        0.319        0.319       47.071       15.703       20.501       23.047
        6963         6963         8192        0.427        0.427        0.425        0.425       42.803       18.219       22.834       24.104
        6964        10444        16384        0.654        0.654        0.212        0.212       52.200       13.745       16.871       22.666
       10444        10444        16384        0.529        0.529        0.319        0.319       42.118       16.077       21.010       23.749
       10445        13926        16384        0.529        0.529        0.319        0.319       47.464       16.094       21.035       23.739
