       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            7            8        0.875        0.875        0.000        0.000       61.580       13.019       18.499       23.701
           7            7            8        0.373        0.393        0.283        0.375       28.101       19.409       24.816       25.239
           8           10           16        0.655        0.597        0.310        0.219       39.508       21.537       21.153       25.679
          10           10           16        0.592        0.524        0.347        0.281       36.366       21.543       21.953       25.793
          11           13           16        0.561        0.492        0.361        0.313       52.119       21.061       21.782       25.572
          13           13           16        0.498        0.432        0.382        0.375       40.167       21.520       22.522       25.766
          14           19           32        0.733        0.641        0.390        0.203       48.225       21.249       18.170       25.202
          19           19           32        0.654        0.547        0.418        0.281       40.875       21.227       18.552       25.031
          20           28           32        0.639        0.530        0.422        0.297       59.525       22.132       19.563       26.087
          28           28           32        0.519        0.411        0.455        0.422       39.382       21.532       19.796       25.168
          29           42           64        0.550        0.633        0.007        0.219       46.636       13.623       18.202       21.139
          42           42           64        0.362        0.516        0.028        0.320       37.866       13.291       18.894       20.716
          43           54           64        0.348        0.508        0.029        0.328       42.215       13.141       18.595       20.619
          54           54           64        0.189        0.427        0.039        0.414       50.171       14.328       17.689       21.690
          55           81          128        0.579        0.650        0.020        0.211       46.237       13.938       20.107       21.349
          81           81          128        0.447        0.530        0.126        0.313       35.553       13.635       19.416       20.441
          82          108          128        0.443        0.526        0.130        0.316       39.933       13.613       19.397       20.508
         108          108          128        0.337        0.429        0.217        0.418       37.853       17.117       22.340       22.958
         109          162          256        0.619        0.653        0.106        0.211       44.852       15.338       20.195       22.584
         162          162          256        0.467        0.530        0.160        0.314       35.394       14.036       19.954       20.784
         163          217          256        0.465        0.528        0.162        0.316       52.240       14.147       20.108       20.324
         217          217          256        0.339        0.428        0.230        0.422       33.511       14.257       19.291       20.417
         218          325          512        0.626        0.653        0.126        0.212       39.955       12.293       16.836       19.387
         325          325          512        0.491        0.530        0.210        0.316       31.960       12.538       17.938       18.776
         326          435          512        0.490        0.529        0.211        0.317       36.104       12.527       17.966       18.720
         435          435          512        0.375        0.427        0.300        0.424       31.065       13.424       18.345       18.861
         436          652         1024        0.630        0.653        0.137        0.212       38.077       10.800       15.157       17.678
         652          652         1024        0.504        0.529        0.246        0.318       30.559       12.010       17.182       18.097
         653          870         1024        0.504        0.528        0.246        0.318       35.761       12.047       17.121       18.097
         870          870         1024        0.400        0.427        0.348        0.424       30.726       13.711       18.450       18.953
         871         1305         2048        0.628        0.654        0.129        0.212       38.947        9.905       14.354       16.997
        1305         1305         2048        0.488        0.529        0.214        0.318       31.749       10.978       16.541       17.393
        1306         1740         2048        0.488        0.528        0.214        0.319       37.817       11.005       16.575       17.531
        1740         1740         2048        0.370        0.427        0.290        0.425       33.301       12.110       17.014       18.613
        1741         2610         4096        0.624        0.654        0.122        0.212       41.073        9.501       14.037       16.881
        2610         2610         4096        0.498        0.529        0.245        0.318       33.121       11.609       16.482       18.050
        2611         3481         4096        0.498        0.529        0.245        0.319       38.702       11.638       16.477       18.129
        3481         3481         4096        0.401        0.427        0.368        0.425       33.972       13.836       17.861       20.565
        3482         5221         8192        0.639        0.654        0.164        0.212       43.672       10.496       14.261       19.619
        5221         5221         8192        0.515        0.529        0.283        0.319       33.487       12.713       16.946       19.417
        5222         6963         8192        0.514        0.529        0.283        0.319       38.977       12.730       16.964       19.439
        6963         6963         8192        0.414        0.427        0.399        0.425       34.892       15.002       18.829       20.543
        6964        10444        16384        0.631        0.654        0.140        0.212       43.285       10.316       14.670       18.712
       10444        10444        16384        0.499        0.529        0.243        0.319       34.145       12.343       17.389       19.740
       10445        13926        16384        0.499        0.529        0.242        0.319       39.513       12.333       17.310       19.741
       13926        13926        16384        0.383        0.427        0.327        0.425       33.608       13.998       18.741       20.519
       13927        20889        32768        0.642        0.654        0.178        0.212       41.837       11.170       15.072       19.450
