nkeys capacity nbuckets vacancy rndvacancy regret rndregret put get miss del
1 8 8 1.0 0.875 -1.0 0.0 0.496486 0.127186 0.11956 0.189596
8 8 8 1.0 0.34360891580581665 -1.0 0.4375 0.20299767 0.24531361 0.13112178 0.28257754
9 16 16 1.0 0.5594245067186421 -1.0 0.25 0.25070018 0.24910621 0.13376397 0.28307968
16 16 16 1.0 0.3560741304517928 -1.0 0.46875 0.2172033 0.26467514 0.15260552 0.307327
17 32 32 1.0 0.5829068564498201 -1.0 0.25 0.2737118 0.2738738 0.16356069 0.31755146
32 32 32 1.0 0.3620552892563166 -1.0 0.484375 0.22280715 0.29230025 0.1881236 0.34107563
33 48 64 0.484375 0.5947014405560413 0.0 0.25 0.31687424 0.12754528 0.13675724 0.21234281
48 48 64 0.25 0.4695778710898645 0.0 0.3671875 0.27559978 0.121270776 0.13061884 0.20646933
49 72 128 0.6171875 0.6809164309300626 0.0 0.1875 0.35108992 0.12015261 0.1294785 0.2065576
72 72 128 0.4921875 0.5685256902982322 0.097222224 0.27734375 0.30284995 0.13671887 0.13573487 0.21918741
73 108 128 0.484375 0.5640840833427772 0.09589041 0.28125 0.3483897 0.13609631 0.13544632 0.2180033
108 108 128 0.265625 0.42867202377400226 0.12962963 0.41796875 0.32163805 0.15714501 0.15294097 0.23745751
109 162 256 0.6015625 0.6527147820843155 0.06422018 0.2109375 0.39187077 0.14555378 0.14874181 0.23182082
162 162 256 0.421875 0.5304382697863936 0.086419754 0.31445313 0.30411994 0.12729082 0.12883882 0.21189135
163 217 256 0.41796875 0.5283662452950405 0.08588957 0.31640625 0.34925163 0.12723751 0.12902756 0.21154784
217 217 256 0.28515625 0.42770731846412596 0.15668203 0.421875 0.2964781 0.12795264 0.12308054 0.20514822
218 325 512 0.6425781 0.6529873028653209 0.16055046 0.21191406 0.3645884 0.12884837 0.12302418 0.205921
325 325 512 0.47070313 0.5297308023125619 0.16615385 0.31640625 0.2851574 0.118456736 0.11212849 0.19546582
326 435 512 0.46875 0.5286961718392952 0.16564417 0.3173828 0.32624102 0.118557274 0.112919115 0.19483538
435 435 512 0.30664063 0.4272268451352311 0.18390805 0.42382813 0.27626806 0.115058534 0.10961641 0.18788013
436 652 1024 0.63378906 0.6531233393511757 0.13990825 0.21240234 0.34826902 0.10840041 0.10445011 0.1868225
652 652 1024 0.46875 0.5288608895699789 0.16564417 0.3178711 0.27396342 0.106931925 0.1012874 0.18275496
653 870 1024 0.46777344 0.5283444238575081 0.1653905 0.31835938 0.31900033 0.10698752 0.10130881 0.18233305
870 870 1024 0.33398438 0.42740446314264724 0.22068965 0.4243164 0.27011195 0.11308449 0.10573233 0.18405405
871 1305 2048 0.6669922 0.6535103986172291 0.22158438 0.21240234 0.35194838 0.113202415 0.10496566 0.18383092
1305 1305 2048 0.50878906 0.5286849141353972 0.23831418 0.31835938 0.2770522 0.11279229 0.10211113 0.18284193
1306 1740 2048 0.50878906 0.5284267672046671 0.2388974 0.31860352 0.33969495 0.113102295 0.102328934 0.18221503
1740 1740 2048 0.35595703 0.4274932130193645 0.25574714 0.42456055 0.28485182 0.11470048 0.10055571 0.18292186
1741 2610 4096 0.6779785 0.653703939174513 0.25617462 0.21240234 0.37204024 0.11556273 0.10073801 0.1834323
2610 2610 4096 0.5332031 0.5287260590845073 0.28582376 0.31848145 0.2868021 0.11986035 0.10020908 0.18656503
2611 3481 4096 0.532959 0.5285969755739885 0.2857143 0.31860352 0.34236234 0.120155185 0.10070528 0.18590666
