nkeys capacity nbuckets vacancy rndvacancy regret rndregret put get miss del
3481 3481 4096 0.38623047 0.42743319389937967 0.29847744 0.4248047 0.28747582 0.123891816 0.10053982 0.19057293
3482 5221 8192 0.68603516 0.6537209025259371 0.27857554 0.21246338 0.3743253 0.12140886 0.09966638 0.18962228
5221 5221 8192 0.52697754 0.5286820834700223 0.2738939 0.31860352 0.28584027 0.12264993 0.097970635 0.19565308
5222 6963 8192 0.52685547 0.52861754708288 0.27384144 0.31866455 0.34148988 0.123044655 0.09823402 0.1956156
6963 6963 8192 0.41333008 0.42740319164049273 0.36248744 0.42492676 0.29264313 0.14076793 0.10651006 0.20813356
6964 10444 16384 0.70666504 0.6537293833312537 0.362579 0.2124939 0.3788261 0.14351553 0.10735426 0.20701404
10444 10444 16384 0.5623169 0.5286278318818134 0.36968595 0.31869507 0.29561928 0.15193805 0.10670177 0.21265438
10445 13926 16384 0.5623169 0.5285955669994964 0.3697463 0.3187256 0.34552178 0.15652822 0.10668955 0.2122775
13926 13926 16384 0.4232788 0.4274142796331008 0.3921442 0.42495728 0.2925491 0.16664286 0.10675409 0.21873476
13927 20889 32768 0.6995239 0.6537535744921277 0.33697134 0.2124939 0.37078136 0.16166069 0.10365829 0.21362485
20889 20889 32768 0.55548096 0.5286168414443477 0.35554597 0.3187256 0.291557 0.16758034 0.10347781 0.21827869
20890 27852 32768 0.55545044 0.5286007093385908 0.35552895 0.31874084 0.34652522 0.17015809 0.10358503 0.21818611
27852 27852 32768 0.4335327 0.4274198233988737 0.40417206 0.42497253 0.291545 0.18151611 0.10787868 0.22478151
27853 41778 65536 0.7057648 0.6537656701152222 0.3649876 0.2124939 0.38139778 0.17905657 0.10428052 0.22113301
41778 41778 65536 0.5620117 0.5286194125095706 0.37469482 0.31873322 0.29600036 0.17160735 0.10480567 0.22700018
41779 55705 65536 0.56199646 0.5286113464174608 0.37468585 0.31874084 0.35484034 0.17507288 0.104189694 0.22648586
55705 55705 65536 0.41670227 0.4274160732729096 0.37432906 0.4249878 0.29546297 0.17506951 0.10435591 0.23540743
55706 83557 131072 0.70835114 0.6537667300550641 0.3743403 0.21249771 0.3870178 0.1635331 0.10574981 0.23498367
83557 83557 131072 0.5627289 0.5286166649713928 0.37611452 0.31874084 0.3002842 0.19288163 0.104299046 0.25132543
83558 111411 131072 0.56272125 0.5286126319462999 0.37611002 0.31874466 0.3656143 0.197636 0.10439922 0.2498782
111411 111411 131072 0.41580963 0.4274141982384378 0.37357172 0.42499542 0.30560267 0.21636105 0.103980266 0.26821247
111412 167116 262144 0.707901 0.6537672600215862 0.3735684 0.21249962 0.39676237 0.21339305 0.10425268 0.26929325
167116 167116 262144 0.5857811 0.5286132747069879 0.44750354 0.31874657 0.31083304 0.25305775 0.11019602 0.29912323
167117 222822 262144 0.5857811 0.5286112582073743 0.44750684 0.31874847 0.37669045 0.2555447 0.11040788 0.2991111
222822 222822 262144 0.4637184 0.42741489118674597 0.4845437 0.42499733 0.363884 0.3036586 0.11590785 0.3296598
222823 334233 524288 0.72034836 0.6537687719689709 0.43104616 0.21249962 0.41369566 0.27171996 0.11035665 0.31674346
334233 334233 524288 0.5864277 0.5286125878359792 0.449064 0.31874847 0.3253996 0.29191783 0.112261295 0.34952307
334234 445644 524288 0.5864277 0.5286115795874825 0.44906563 0.31874943 0.3946102 0.29663563 0.11144673 0.3572326
445644 445644 524288 0.47781372 0.42741523765999967 0.5261128 0.42499828 0.3391129 0.34981245 0.12216437 0.44954962
445645 668466 1048576 0.73890686 0.6537695279428298 0.5261161 0.21249962 0.47984585 0.35605186 0.12273936 0.4511724
668466 668466 1048576 0.6104584 0.5286127485256258 0.53402567 0.31874895 0.3529873 0.63806427 0.14734375 0.6812442
668467 891289 1048576 0.6104574 0.5286122444012242 0.5340249 0.31874943 0.45149148 0.50501907 0.1295651 0.58114207
891289 891289 1048576 0.48932743 0.4274150032813016 0.55928886 0.42499924 0.38729975 0.65396297 0.13665153 0.7084122
891290 1336933 2097152 0.7354703 0.653769594188017 0.50884783 0.21249986 0.47296166 0.6455834 0.13061517 0.71334136
1336933 1336933 2097152 0.610692 0.5286125768081518 0.5346887 0.31874943 0.366705 0.80891114 0.1357161 0.8765635
1336934 1782579 2097152 0.61069155 0.5286123247460328 0.53468835 0.31874967 0.50342304 0.8292082 0.13547665 0.8955665
1782579 1782579 2097152 0.50204563 0.42741488609206396 0.5867774 0.4249997 0.37625822 0.9344242 0.14252944 0.97658503
1782580 2673868 4194304 0.7510228 0.6537696273105972 0.58677816 0.21249998 0.4881436 0.9433181 0.14223765 1.05156
2673868 2673868 4194304 0.63084936 0.5286123649184226 0.60686505 0.3187498 0.45104694 1.06926 0.14611043 1.1390727
2673869 3565158 4194304 0.63084936 0.5286122388874136 0.6068656 0.3187499 0.5190194 1.0554893 0.14615525 1.141694
3565158 3565158 4194304 0.51255345 0.4274149294011331 0.62031615 0.42499983 0.4095134 1.1154008 0.14697807 1.2377431
3565159 5347737 8388608 0.74935603 0.6537697218073081 0.58269405 0.21249998 0.52791476 1.0898672 0.14254904 1.2233676
5347737 5347737 8388608 0.6291727 0.5286123219891069 0.60176706 0.3187499 0.44927788 1.2833036 0.14662464 1.3791965
5347738 7130317 8388608 0.6291727 0.5286122589736075 0.6017671 0.31874996 0.55456156 1.1927491 0.1467125 1.3278437
7130317 7130317 8388608 0.52679956 0.42741490010383154 0.6629695 0.42499995 0.4400057 1.3302578 0.15317692 1.4192861
7130318 10695476 16777216 0.7537864 0.6537697300879493 0.6070402 0.2125 0.65100884 1.3227348 0.1466218 1.4373735
10695476 10695476 16777216 0.63298565 0.5286122690167036 0.6154144 0.31875 0.4974449 1.3859243 0.14615805 1.5075028
10695477 14260634 16777216 0.6329856 0.528612237508957 0.6154143 0.31875002 0.50385505 1.2318618 0.14622068 1.3780134
14260634 14260634 16777216 0.50944835 0.4274149109310964 0.6118604 0.42499998 0.49795753 1.3639681 0.14669193 1.4890621
14260635 21390952 33554432 0.75472414 0.6537697537121266 0.61186045 0.2125 0.6536757 1.3190156 0.14575016 1.4768137
21390952 21390952 33554432 0.650526 0.5286122740382514 0.6936733 0.31875002 0.45201916 1.3355076 0.16100545 1.5256273
21390953 28521268 33554432 0.650526 0.528612258284378 0.6936734 0.31875002 0.56016535 1.4464208 0.16354717 1.5806538
28521268 28521268 33554432 0.54525054 0.42741491634472867 0.7316444 0.425 0.43953234 1.4143456 0.1603975 1.5494777
28521269 42781904 67108864 0.7726252 0.6537697655242154 0.7316444 0.2125 0.5629175 1.4443326 0.16930488 1.6359406
33554431 42781904 67108864 0.7389122 0.6065306664911418 0.76734805 0.24999999 0.5720532 1.4334837 0.16269326 1.5171579
