       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
     2673869      3565158      4194304        0.529        0.529        0.319        0.319      134.218      113.333       78.803      122.503
     3565158      3565158      4194304        0.427        0.427        0.425        0.425      130.270      130.149       93.201      130.844
     3565159      5347737      8388608        0.654        0.654        0.212        0.212      163.560      110.545       75.070      134.083
     5347737      5347737      8388608        0.529        0.529        0.319        0.319      146.121      125.150       88.544      137.579
     5347738      7130317      8388608        0.529        0.529        0.319        0.319      156.526      125.198       88.742      137.566
     7130317      7130317      8388608        0.427        0.427        0.425        0.425      150.156      138.252      102.132      141.533
     7130318     10695476     16777216        0.654        0.654        0.213        0.213      183.194      114.616       79.090      141.094
    10695476     10695476     16777216        0.529        0.529        0.319        0.319      163.041      132.688       94.031      146.160
    10695477     14260634     16777216        0.529        0.529        0.319        0.319      176.896      130.358       92.726      144.561
    14260634     14260634     16777216        0.427        0.427        0.425        0.425      167.512      144.543      106.747      149.501
    14260635     21390952     33554432        0.654        0.654        0.212        0.213      199.924      116.704       81.883      146.622
    16777215     21390952     33554432        0.607        0.607        0.250        0.250      188.005      121.701       89.372      149.515
