       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
     2673869      3565158      4194304        0.535        0.529        0.335        0.319       68.841       93.936       73.798      119.185
     3565158      3565158      4194304        0.430        0.427        0.432        0.425       60.019      106.407       87.865      124.272
     3565159      5347737      8388608        0.664        0.654        0.245        0.212       77.106       89.586       68.044      126.893
     5347737      5347737      8388608        0.537        0.529        0.340        0.319       61.394      102.699       83.302      131.304
     5347738      7130317      8388608        0.538        0.529        0.341        0.319       71.189      102.324       84.261      131.331
     7130317      7130317      8388608        0.430        0.427        0.432        0.425       61.693      113.461       96.049      135.318
     7130318     10695476     16777216        0.671        0.654        0.271        0.213       77.581       96.727       70.851      135.549
    10695476     10695476     16777216        0.545        0.529        0.361        0.319       62.410      111.684       90.647      141.509
    10695477     14260634     16777216        0.544        0.529        0.359        0.319       74.554      109.562       88.773      139.870
    14260634     14260634     16777216        0.440        0.427        0.456        0.425       64.106      121.836      103.969      144.641
    14260635     21390952     33554432        0.673        0.654        0.281        0.213       79.721      100.139       74.375      141.852
    16777215     21390952     33554432        0.629        0.607        0.322        0.250       71.955      106.735       78.483      144.855
