       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
     2673869      3565158      4194304        0.628        0.529        0.598        0.319       55.038      107.127       44.861      111.720
     3565158      3565158      4194304        0.516        0.427        0.627        0.425       45.798      115.988       67.118      119.911
     3565159      5347737      8388608        0.750        0.654        0.582        0.212       60.341      112.209       34.101      119.784
     5347737      5347737      8388608        0.628        0.529        0.599        0.319       46.245      120.523       68.429      128.330
     5347738      7130317      8388608        0.627        0.529        0.595        0.319       55.693      119.870       59.297      128.302
     7130317      7130317      8388608        0.529        0.427        0.675        0.425       46.814      129.240       90.385      134.916
     7130318     10695476     16777216        0.753        0.654        0.605        0.213       60.353      122.435       73.495      133.261
    10695476     10695476     16777216        0.631        0.529        0.608        0.319       46.670      129.113       63.382      140.653
    10695477     14260634     16777216        0.632        0.529        0.611        0.319       58.697      129.174       79.533      140.078
    14260634     14260634     16777216        0.515        0.427        0.630        0.425       48.947      135.142       93.840      145.981
    14260635     21390952     33554432        0.755        0.654        0.611        0.213       62.834      127.650       84.987      141.828
    16777215     21390952     33554432        0.720        0.607        0.662        0.250       55.570      135.447       58.919      146.791
