       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
           1            8            8        1.000        0.875       -1.000        0.000       49.241       12.599       13.012       17.216
           8            8            8        1.000        0.344       -1.000        0.438       20.545       24.086       12.884       28.331
           9           16           16        1.000        0.559       -1.000        0.250       25.613       24.479       13.567       28.449
          16           16           16        1.000        0.356       -1.000        0.469       21.936       26.211       14.112       30.754
          17           32           32        1.000        0.583       -1.000        0.250       27.490       27.192       15.659       31.731
          32           32           32        1.000        0.362       -1.000        0.484       22.992       29.416       18.406       35.493
          33           48           64        0.484        0.595        0.000        0.250       41.212       12.496       18.186       20.172
          48           48           64        0.250        0.470        0.000        0.367       27.922       11.911       16.649       19.608
          49           72          128        0.617        0.681        0.000        0.188       35.728       11.786       16.110       19.827
          72           72          128        0.438        0.569        0.000        0.277       30.296       11.722       17.653       19.793
          73          108          128        0.430        0.564        0.000        0.281       35.221       11.608       17.621       19.548
         108          108          128        0.156        0.429        0.000        0.418       32.614       13.335       16.544       21.004
         109          162          256        0.574        0.653        0.000        0.211       50.317       13.404       17.690       20.879
         162          162          256        0.367        0.530        0.000        0.314       30.073       11.147       17.110       19.026
         163          217          256        0.363        0.528        0.000        0.316       34.843       11.003       16.810       18.895
         217          217          256        0.152        0.428        0.000        0.422       29.057        9.980       12.999       17.987
         218          325          512        0.574        0.653        0.000        0.212       35.828        9.979       14.277       17.867
         325          325          512        0.365        0.530        0.000        0.316       27.800        8.959       14.806       16.838
         326          435          512        0.363        0.529        0.000        0.317       31.866        8.918       14.888       16.837
         435          435          512        0.150        0.427        0.000        0.424       26.744        8.402       11.668       16.229
         436          652         1024        0.574        0.653        0.000        0.212       33.939        8.406       12.672       16.146
         652          652         1024        0.363        0.529        0.000        0.318       26.284        7.844       13.681       15.946
         653          870         1024        0.362        0.528        0.000        0.318       31.202        7.829       13.658       15.697
         870          870         1024        0.150        0.427        0.000        0.424       25.900        7.551       10.879       15.831
         871         1305         2048        0.575        0.654        0.000        0.212       34.833        7.549       11.729       15.571
        1305         1305         2048        0.363        0.529        0.000        0.318       26.578        7.294       13.171       15.282
        1306         1740         2048        0.362        0.528        0.000        0.319       32.887        7.272       13.087       15.443
        1740         1740         2048        0.150        0.427        0.000        0.425       27.962        7.145       10.368       15.266
        1741         2610         4096        0.575        0.654        0.000        0.212       36.774        7.158       11.475       15.227
        2610         2610         4096        0.363        0.529        0.000        0.318       27.610        7.041       12.589       15.214
        2611         3481         4096        0.363        0.529        0.000        0.319       33.214        7.048       12.560       15.311
        3481         3481         4096        0.150        0.427        0.000        0.425       27.842        6.996       10.093       15.537
        3482         5221         8192        0.575        0.654        0.000        0.212       37.955        7.033       11.140       15.956
        5221         5221         8192        0.363        0.529        0.000        0.319       26.797        6.925       12.925       15.950
        5222         6963         8192        0.363        0.529        0.000        0.319       32.634        6.949       12.614       15.938
        6963         6963         8192        0.150        0.427        0.000        0.425       27.874        6.947       10.231       16.257
        6964        10444        16384        0.575        0.654        0.000        0.212       36.215        6.988       11.277       16.295
       10444        10444        16384        0.363        0.529        0.000        0.319       27.856        6.973       12.998       16.635
       10445        13926        16384        0.362        0.529        0.000        0.319       33.160        6.986       13.175       16.634
       13926        13926        16384        0.150        0.427        0.000        0.425       27.592        6.944       10.703       16.821
       13927        20889        32768        0.575        0.654        0.000        0.212       35.796        6.964       11.150       16.828
       20889        20889        32768        0.363        0.529        0.000        0.319       27.648        7.025       13.229       17.176
       20890        27852        32768        0.362        0.529        0.000        0.319       33.303        6.958       13.103       17.164
       27852        27852        32768        0.150        0.427        0.000        0.425       27.731        6.981       10.798       17.308
       27853        41778        65536        0.575        0.654        0.000        0.212       36.090        7.616       11.662       17.394
       41778        41778        65536        0.363        0.529        0.000        0.319       27.873        7.540       13.837       17.808
       41779        55705        65536        0.363        0.529        0.000        0.319       33.724        9.000       13.716       17.658
       55705        55705        65536        0.150        0.427        0.000        0.425       28.117        8.777       11.330       18.060
       55706        83557       131072        0.575        0.654        0.000        0.212       36.867        7.628       11.822       18.221
       83557        83557       131072        0.363        0.529        0.000        0.319       28.389        9.657       15.107       19.859
       83558       111411       131072        0.363        0.529        0.000        0.319       47.299       11.370       15.205       20.432
      111411       111411       131072        0.150        0.427        0.000        0.425       34.922       12.578       15.584       22.102
      111412       167116       262144        0.575        0.654        0.000        0.212       38.318       11.312       13.971       21.807
      167116       167116       262144        0.363        0.529        0.000        0.319       29.103       13.155       17.818       24.245
      167117       222822       262144        0.362        0.529        0.000        0.319       35.608       12.913       17.089       24.122
      222822       222822       262144        0.150        0.427        0.000        0.425       29.604       13.397       16.476       25.881
      222823       334233       524288        0.575        0.654        0.000        0.212       38.911       13.730       14.198       26.110
      334233       334233       524288        0.363        0.529        0.000        0.319       29.581       14.859       17.781       27.745
      334234       445644       524288        0.362        0.529        0.000        0.319       37.271       15.256       18.858       28.462
      445644       445644       524288        0.150        0.427        0.000        0.425       30.617       16.366       20.034       32.014
      445645       668466      1048576        0.575        0.654        0.000        0.212       41.440       17.447       17.695       34.057
      668466       668466      1048576        0.363        0.529        0.000        0.319       30.842       25.441       28.644       49.085
