       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
     2673869      3565158      4194304        0.507        0.529        0.260        0.319       71.117       88.135       75.999      119.402
     3565158      3565158      4194304        0.401        0.427        0.357        0.425       60.772      101.720       25.177      124.637
     3565159      5347737      8388608        0.640        0.654        0.165        0.212       83.252       83.754       18.053      128.188
     5347737      5347737      8388608        0.507        0.529        0.260        0.319      129.403       69.305       84.329       69.952
     5347738      7130317      8388608        0.507        0.529        0.260        0.319      141.581       69.192       83.950       69.468
     7130317      7130317      8388608        0.409        0.427        0.376        0.425      135.923       84.314       59.780       77.196
     7130318     10695476     16777216        0.634        0.654        0.149        0.213      165.757       59.407       35.514       66.512
    10695476     10695476     16777216        0.502        0.529        0.248        0.319      143.679       71.502       86.404       71.645
    10695477     14260634     16777216        0.502        0.529        0.247        0.319      105.397       94.364       65.789      120.062
    14260634     14260634     16777216        0.398        0.427        0.351        0.425       65.892      110.888      102.380      142.425
    14260635     21390952     33554432        0.644        0.654        0.179        0.213       85.362       93.590       76.612      143.537
    16777215     21390952     33554432        0.599        0.607        0.228        0.250       76.764      102.802       19.627      147.026
