       nkeys     capacity     nbuckets      vacancy   rndvacancy       regret    rndregret        putns        getns       missns        delns
     2673869      3565158      4194304        0.529        0.529        0.319        0.319      133.984      115.850       80.964      126.928
     3565158      3565158      4194304        0.427        0.427        0.425        0.425      129.965      130.351       94.136      131.717
     3565159      5347737      8388608        0.654        0.654        0.212        0.212      162.540      110.401       74.951      134.120
     5347737      5347737      8388608        0.529        0.529        0.319        0.319      145.516      125.106       88.504      137.306
     5347738      7130317      8388608        0.529        0.529        0.319        0.319      155.721      125.081       88.850      137.477
     7130317      7130317      8388608        0.427        0.427        0.425        0.425      149.641      138.116      102.254      141.856
     7130318     10695476     16777216        0.654        0.654        0.213        0.213      182.728      114.674       78.937      140.898
    10695476     10695476     16777216        0.529        0.529        0.319        0.319      163.067      132.636       93.872      146.281
    10695477     14260634     16777216        0.529        0.529        0.319        0.319      174.877      129.178       91.886      145.177
    14260634     14260634     16777216        0.427        0.427        0.425        0.425      167.306      144.542      106.776      149.447
    14260635     21390952     33554432        0.654        0.654        0.213        0.213      199.788      116.634       81.887      146.738
    16777215     21390952     33554432        0.607        0.607        0.250        0.250      189.093      123.380       90.240      149.647
